"ECO_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Integ1km20","Integ1km30","Area (ha)"
"Scandinavian Montane Birch forest and grasslands",0.997925151511878,0.608779407463123,0.750163428325608,0.943806878486101,0.797088700193531,0.977403515632719,0.999844336100035,0.99954844332816,0.998932355825344,24486475.861731
"Sechura desert",0.764455840703963,0.161422479109841,0.398696134390132,0.141213646013546,0.147440594005271,0.95872203755695,0.995524616503971,0.991579340056724,0.985301003119168,18421329.3613599
"Selenge-Orkhon forest steppe",0.589537303710501,0.479636954992968,0.333943997159975,0.345376602069349,0.304421535948434,0.837334742365219,0.996184969446416,0.993224527509793,0.98990551216462,22836900.7693637
"Seram rain forests",0.934351574589521,0.00172179901909632,0.128287881232855,0.772764249688161,0.123238848359971,0.895859052006264,0.998483335032107,0.994736520232392,0.984022016104373,1927587.40553899
"Serengeti volcanic grasslands",0.132923076923077,0,0,0.373015873015873,0,0.99938195302843,1,1,1,12491.8499446836
"Serra do Mar coastal forests",0.509078823313957,0.11933757815197,0.102754186688575,0.299438492005566,0.144623173987135,0.776236069335366,0.971558886563833,0.954277296017306,0.931494479791742,10460953.1725617
"Sichuan Basin evergreen broadleaf forests",0.0462799187486212,0,0,0.00558584231611118,0,0.0641701473906573,0.311441841842473,0.212410730682321,0.149479063630768,9800875.22022196
"Sierra de la Laguna dry forests",0.977073959368122,0.0754196943122025,0.00075187969924812,0.00704579768495219,0.00277217741935484,0.98860443334374,0.999980490850209,0.999921963400835,0.99984392680167,397504.752005174
"Sierra de la Laguna pine-oak forests",0.989309090909091,0.0778611632270169,0.0615671641791045,0.277829747427502,0.0858208955223881,0.985236363636364,1,1,1,106107.37228093
"Sierra de los Tuxtlas",0.372760656535941,0.000520833333333333,0.00486306629127208,0.101410700026617,0,0.384798538557852,0.920930138427912,0.823605601878086,0.719319193718125,389015.56687079
"Sierra Madre de Chiapas moist forests",0.625827882889389,0.011070764325569,0.0284423179160021,0.292994761608808,0.0337357954545455,0.763254138480999,0.971214765746327,0.944140565946979,0.916269257727142,1121787.93832705
"Sierra Madre de Oaxaca pine-oak forests",0.724356935286474,0.158501841428671,0.355065404954077,0.571021344642981,0.303316876434184,0.970847556339281,0.999379876730279,0.998635728806613,0.997719024842677,1429830.80294716
"Sierra Madre del Sur pine-oak forests",0.689515466393619,0.0683777397539314,0.245194661097151,0.487977161500816,0.189217414006919,0.966738050931451,0.998830638534569,0.997668862116481,0.996328837085825,6097348.78619704
"Sierra Madre Occidental pine-oak forests",0.902159844238127,0.267568164662997,0.561292994363281,0.29824529109392,0.344628555647611,0.974463381068465,0.993402410521909,0.990722864154773,0.988422391222328,21644472.9307126
"Sierra Madre Oriental pine-oak forests",0.896089013795055,0.449373958508508,0.378204638805332,0.344063187484723,0.3406183613272,0.97601383830682,0.995735743983634,0.993338431814523,0.991189729796282,6519209.88495186
"Sierra Nevada forests",0.952741544123634,0.74723107267486,0.773606178476803,0.78541232281883,0.776220554072993,0.981224295077693,0.999867901154837,0.999674156181932,0.999125212092035,5310270.9589069
"Simpson desert",0.999508356094625,0.994483727431648,0.897573655072197,0.99009333258244,0.995536353071331,0.999894586968066,0.999999206886866,0.999993787280448,0.999988235488508,58393722.1540856
"Sinaloan dry forests",0.79731805667902,0.0760648040657328,0.33056275048002,0.173897169085527,0.139213267903535,0.786563635757731,0.878474791645179,0.853541305973923,0.835197670471443,7736228.31847422
"Sinú Valley dry forests",0.195034895251681,0.000120264582080577,0.000558859925751467,0.0308060719214222,0,0.312093591341671,0.823689033750655,0.676154354277988,0.560959271583766,2487929.03798593
"Snake-Columbia shrub steppe",0.793787574582804,0.732149821381215,0.707423332246765,0.519280125032016,0.683378180616532,0.872510016644786,0.937571755966779,0.924295268439197,0.913569121178159,19318818.4483755
"Society Islands tropical moist forests",0.612483161203413,0.00124223602484472,0.0131233595800525,0.307852675469076,0,0.379927951697194,0.986922450641156,0.954915530225931,0.882505597394667,162045.674441803
"Socotra Island xeric shrublands",0.973945792430697,0.000262123197903014,0.134265734265734,0.437517090511348,0.0681622088006903,0.92635255957084,0.990708716206537,0.9856333012709,0.981008124756974,380313.155539376
"Solimões-Japurá moist forests",0.999200963828726,0.994618150644155,0.98360265594136,0.995079803192128,0.998078135791718,0.999510760024071,0.99999631039707,0.999990775992676,0.999978784783155,16693116.4911255
"Solomon Islands rain forests",0.970618446634675,0.372578840138885,0.209055338177753,0.830298263657814,0.422935379241517,0.974797274409452,0.99984944087817,0.999436543892546,0.998619874716561,3569965.21283154
"Somali Acacia-Commiphora bushlands and thickets",0.771179158329312,0.0292439013408972,0.285231195112891,0.0639007557242302,0.0451713705268933,0.953596932039425,0.989729266409298,0.985117173287925,0.981080886413291,75145493.4229424
"Somali montane xeric woodlands",0.970583314744591,0.109268780571661,0.501591982056872,0.0431730211712347,0.072283471997232,0.992182590614741,0.999939349535903,0.99981319657058,0.999592428881266,6360372.26560407
"Sonoran-Sinaloan subtropical dry forest",0.356876635237202,0.353567771914626,0.244613360045568,0.0699477733923374,0.113594715962867,0.800024995525492,0.855584410806104,0.832518266191219,0.820215606977179,5090251.1011936
"Sonoran desert",0.813651482909521,0.685333250046849,0.452665199611557,0.406995650674347,0.530392178997991,0.926937842046348,0.965638314141248,0.956033621958485,0.948970574904489,22448630.1059563
"South American Pacific mangroves",0.641897930245582,0.113848508033665,0.202774377804978,0.53760999148453,0.190947520362924,0.841876152543651,0.980695780361962,0.961988535644885,0.941277160836009,1346091.2162392
"South Apennine mixed montane forests",0.0578520241089649,0.000610360875867857,0.00251735448928217,0.481105427895259,7.6645972254158e-05,0.587145091719202,0.841595101452188,0.788685111086156,0.744888972948053,1309478.15568174
"South Arabian fog woodlands, shrublands, and dune",0.954099600087543,0.0984705100005115,0.121145261429524,0.437224556728503,0.104810465595385,0.950632805630597,0.995192422588843,0.989062462658626,0.98294445196804,1947400.52419323
"South Arabian plains and plateau desert",0.996816071145201,0.727095412116471,0.724157835811879,0.754150437092697,0.767962745129635,0.992537401809149,0.997857902847003,0.997160142535045,0.996549628228154,37127724.8391516
"South Central Rockies forests",0.923958982473921,0.89955816710245,0.882283406671719,0.784194251937565,0.879216576975535,0.960512886362523,0.999365612603104,0.99858327465067,0.997426450573978,17675695.0900558
"South China-Vietnam subtropical evergreen forests",0.275729492820892,4.91088967463124e-05,0.000496423909246355,0.122863119868032,0.000298861480075901,0.341412546685449,0.699971379975511,0.624035465183201,0.561761699869489,22372369.1495532
"South China Sea Islands",1,0.6,NA,NA,NA,0.333333333333333,0.230769230769231,0.230769230769231,0.230769230769231,3053.65143890489
"South Deccan Plateau dry deciduous forests",0.142556627266934,0,0,0.0128631163321112,0,0.181609634505717,0.302920570092271,0.251671552320411,0.222214589205136,8192544.47776247
